,img_name,label
567,group@u47F5n.png,group
568,throw@6gbiCl.png,throw
569,use@QErUFD.png,use
570,matter@QIqd3Y.png,matter
571,reality@b9Nij8.png,reality
572,need@mYgqBp.png,need
573,management@TBR05z.png,management
574,form@mcQk9N.png,form
575,any@g6liV0.png,any
576,enter@bw4y8f.png,enter
577,school@dC72iY.png,school
578,boy@sYbAVZ.png,boy
579,focus@4jrQE7.png,focus
580,past@q5KRTN.png,past
581,role@na8syt.png,role
582,rest@03MwWL.png,rest
583,article@dPn7b1.png,article
584,page@ArkDyW.png,page
585,happen@uLAcJs.png,happen
586,property@UFNnSL.png,property
587,president@3wSZUV.png,president
588,talk@dvZtb1.png,talk
589,whatever@sKqL3V.png,whatever
590,effort@eolBLi.png,effort
591,always@hwPUSW.png,always
592,already@x4hqZR.png,already
593,campaign@0gj4dZ.png,campaign
594,memory@1koC23.png,memory
595,where@LZPpjb.png,where
596,cultural@4LpSug.png,cultural
597,red@gvtuHC.png,red
598,writer@NuBUS4.png,writer
599,model@20yWUd.png,model
600,attack@cEdw8W.png,attack
601,miss@6INxio.png,miss
602,edge@eGPfCT.png,edge
603,significant@HPyBlC.png,significant
604,sport@fNw6U4.png,sport
605,staff@xMUaVE.png,staff
606,result@C35pQP.png,result
607,news@MK8OJ6.png,news
608,leader@euULa0.png,leader
609,whole@PKUOCo.png,whole
610,general@zTk9nf.png,general
611,go@YdHgO6.png,go
612,Mr@ivZrKo.png,Mr
613,wonder@FyXil8.png,wonder
614,hope@LlkepZ.png,hope
615,reach@W6MzlZ.png,reach
616,address@86vJi5.png,address
617,program@aODvTM.png,program
618,town@BZ8fFK.png,town
619,cut@YuNDr6.png,cut
620,something@nuO9Pa.png,something
621,full@xz4V5p.png,full
622,radio@DpwNgt.png,radio
623,us@h5qaXd.png,us
624,operation@kUqtXa.png,operation
625,certain@7N5AOE.png,certain
626,participant@bGiRDp.png,participant
627,about@J5ASj8.png,about
628,well@B1EN3u.png,well
629,true@UvwegX.png,true
630,these@vF32uT.png,these
631,now@pRwfYy.png,now
632,position@VPFGDI.png,position
633,range@pTaqlI.png,range
634,politics@Bb6YCp.png,politics
635,final@sljKi8.png,final
636,thought@acPL5S.png,thought
637,argue@gWMcY5.png,argue
638,heavy@Ou5IPV.png,heavy
639,everyone@B7xPgk.png,everyone
640,what@fki7sT.png,what
641,cut@y9QCl7.png,cut
642,hospital@JqOFRa.png,hospital
643,fall@92LxpX.png,fall
644,power@DhyU0A.png,power
645,debate@LXS2A7.png,debate
646,lay@8MTkLs.png,lay
647,fine@4nIMq3.png,fine
648,writer@KxbzNt.png,writer
649,and@3HDbpL.png,and
650,likely@boWz5R.png,likely
651,building@8esPHB.png,building
652,word@JmdIak.png,word
653,side@wpTK8E.png,side
654,reason@peNxL5.png,reason
655,property@NtnS0Y.png,property
656,suggest@T81EBn.png,suggest
657,wonder@I9HxuY.png,wonder
658,toward@OlkAYK.png,toward
659,can@2ltzVS.png,can
660,sign@wcPrCH.png,sign
661,now@Dozvj3.png,now
662,final@40QbAY.png,final
663,site@ODcPqu.png,site
664,green@4UoZ81.png,green
665,threat@AhiFrv.png,threat
666,stuff@Ec37Vo.png,stuff
667,company@nrHqQF.png,company
668,sign@1Tqdtx.png,sign
669,sort@cmsh1g.png,sort
670,rate@3j56Fh.png,rate
671,fight@s8KC19.png,fight
672,call@m1dWnc.png,call
673,since@Me1wco.png,since
674,game@pjkE9M.png,game
675,police@knx8RY.png,police
676,team@uxKnjG.png,team
677,it@LkMRou.png,it
678,shoulder@rP2RF5.png,shoulder
679,one@kIDCeY.png,one
680,article@ZyrawN.png,article
681,agree@D42mRT.png,agree
682,street@ZjKiDw.png,street
683,success@zHWw8e.png,success
684,once@97D0wL.png,once
685,under@QY5oSM.png,under
686,benefit@V4nb57.png,benefit
687,article@DbvHkR.png,article
688,song@H0wWRM.png,song
689,argue@WADvK5.png,argue
690,should@1DhRCU.png,should
691,gas@fgtEV0.png,gas
692,treat@3k472N.png,treat
693,think@6rvwH2.png,think
694,Mrs@H29IOK.png,Mrs
695,in@n6k4BX.png,in
696,happy@PMVajW.png,happy
697,tree@ltkYoQ.png,tree
698,information@a1oSiF.png,information
699,help@9njCpq.png,help
700,item@aBtOhn.png,item
701,beautiful@IVoCGK.png,beautiful
702,throughout@d31lLx.png,throughout
703,upon@yF4kgo.png,upon
704,rock@8OVgR9.png,rock
705,law@Kz1noY.png,law
706,skin@4T2SGD.png,skin
707,expect@84XoRO.png,expect
708,room@6CnEc7.png,room
709,young@G82PdX.png,young
710,enough@8YW3T1.png,enough
711,explain@oLPRbC.png,explain
712,mean@D3Fewd.png,mean
713,measure@HBF5Od.png,measure
714,agreement@vZF3zW.png,agreement
715,sport@vaFMAq.png,sport
716,understand@mcz4r7.png,understand
717,I@sdxLEb.png,I
718,quickly@JEsR1d.png,quickly
719,anyone@RcSj68.png,anyone
720,loss@e6EZD1.png,loss
721,camera@Zj7rRX.png,camera
722,before@1gmkoC.png,before
723,suffer@cqLTve.png,suffer
724,room@o1BRuS.png,room
725,ten@yqOgEG.png,ten
726,method@Ey6hIU.png,method
727,increase@Lsjk95.png,increase
728,ago@B2XT8e.png,ago
729,notice@0Onz3x.png,notice
730,fight@S35TjY.png,fight
731,notice@rplbKd.png,notice
732,turn@8Z10NS.png,turn
733,leg@ftR14G.png,leg
734,wall@QnkZqm.png,wall
735,theory@L3hsft.png,theory
736,research@CuSz1a.png,research
737,radio@5TCgmp.png,radio
738,space@sYHGoD.png,space
739,fire@FIdzHO.png,fire
740,series@5XmcRB.png,series
741,doctor@Wz2vix.png,doctor
742,bill@4CgvjI.png,bill
743,instead@erIbwj.png,instead
744,citizen@Kg0WfL.png,citizen
745,skill@ckSup3.png,skill
746,sing@7kGTha.png,sing
747,clear@u3L6h2.png,clear
748,whom@dnKzr5.png,whom
749,decide@idNc0a.png,decide
750,people@3qvYX2.png,people
751,thought@9sqi5C.png,thought
752,develop@mFfn08.png,develop
753,sort@LVvhgY.png,sort
754,activity@RZ6tce.png,activity
755,wait@5BwgC1.png,wait
756,age@J9rO0C.png,age
757,guy@0XpPdF.png,guy
758,but@FqLmBv.png,but
759,red@jWYIn1.png,red
760,physical@RB6edq.png,physical
761,week@nszicU.png,week
762,somebody@vX0yVa.png,somebody
763,entire@Ld4Zrn.png,entire
764,reduce@9w2kxJ.png,reduce
765,house@aPJm0f.png,house
766,it@kZndB5.png,it
767,whom@d3FJeI.png,whom
768,rise@U4WO02.png,rise
769,standard@bcPSEA.png,standard
770,democratic@fIT5BN.png,democratic
771,small@3Ab7ou.png,small
772,real@6xtIVR.png,real
773,side@vbu5wm.png,side
774,face@V1O2Ba.png,face
775,truth@xLZ046.png,truth
776,name@I7P63J.png,name
777,station@fy0WCD.png,station
778,join@vqJpdR.png,join
779,medical@foxry0.png,medical
780,finish@ePciMI.png,finish
781,response@cPajuM.png,response
782,crime@5yhv3c.png,crime
783,tree@vdiHFe.png,tree
784,develop@MWmgYA.png,develop
785,wonder@H4amZr.png,wonder
786,political@hMJDZH.png,political
787,pay@0GMqLg.png,pay
788,interest@xBsO7J.png,interest
789,middle@vJuI4F.png,middle
790,later@iFdfkc.png,later
791,similar@TUjZN6.png,similar
792,commercial@AYson6.png,commercial
793,avoid@zRg0Xs.png,avoid
794,assume@7KH6Tk.png,assume
795,free@fzUy1M.png,free
796,rule@Yf1Int.png,rule
797,win@SLPGJs.png,win
798,answer@08gDwM.png,answer
799,range@zkNsWP.png,range
800,term@7Of5ym.png,term
801,environmental@BLWtud.png,environmental
802,local@LFfYA3.png,local
803,race@iozaZQ.png,race
804,out@TMJc6K.png,out
805,full@VdSU8Z.png,full
806,only@fEiHR9.png,only
807,instead@3iDw0K.png,instead
808,center@n7Mkgs.png,center
809,crime@as9K8G.png,crime
810,road@Aw5TdL.png,road
811,edge@6j57CA.png,edge
812,today@TAGn5g.png,today
813,feel@X1IYSp.png,feel
814,may@PF3Hy6.png,may
815,head@MvcSE0.png,head
816,result@dxcwa5.png,result
817,such@j2nbf8.png,such
818,full@p0iwmj.png,full
819,black@YIKR0g.png,black
820,artist@EMNPDy.png,artist
821,before@HjXuWl.png,before
822,place@GSVmYT.png,place
823,song@NtFX95.png,song
824,difficult@qv0VZg.png,difficult
825,how@P1v6kO.png,how
826,loss@F2h8Zk.png,loss
827,other@dgb6Xm.png,other
828,same@3tB1yw.png,same
829,degree@sLZaqS.png,degree
830,exist@4HqTmy.png,exist
831,tell@64Pns1.png,tell
832,Republican@1qtjGm.png,Republican
833,create@nqBA65.png,create
834,image@PUOuRf.png,image
835,able@xGNp1l.png,able
836,power@kAm1f2.png,power
837,alone@Yt2arB.png,alone
838,actually@zPMiNq.png,actually
839,present@tpVHOs.png,present
840,while@ZFmE23.png,while
841,blue@xi4Z26.png,blue
842,beat@6iKTlV.png,beat
843,help@9xIEuz.png,help
844,civil@IxnH4N.png,civil
845,as@BVvQ9P.png,as
846,learn@g5d24C.png,learn
847,development@6t3ALr.png,development
848,benefit@DgVvNd.png,benefit
849,think@aJ6Tic.png,think
850,support@w7Oiu1.png,support
851,operation@oRHTPE.png,operation
852,memory@nEkqFS.png,memory
853,hour@BlGyPq.png,hour
854,response@KxVJ0r.png,response
855,property@am9AD6.png,property
856,party@8HIAkO.png,party
857,behavior@p1FLBU.png,behavior
858,keep@g48NzZ.png,keep
859,sure@Q7qNz8.png,sure
860,push@Xr7AN4.png,push
861,quite@ILFClZ.png,quite
862,else@ghWqfR.png,else
863,campaign@PpBiVz.png,campaign
864,phone@ANMV5n.png,phone
865,buy@drgNvz.png,buy
866,me@96CPzv.png,me
